group,subgroup,filename,fwhm_L,fwhm_C,fwhm_R,sharpness,flatness
test,Spotty,250228B1_899.png,152.32,125.03,118.59,0.8,0.0
test,Spotty,250228B1_998.png,0.0,121.58,162.74,0.82,0.0
test,Spotty,250306A1_888.png,54.04,0.0,68.39,1000000000.0,0.331
test,Spotty,250306B1_21.png,112.8,35.04,41.31,2.85,0.145
test,Spotty,250306B1_321.png,85.23,0.0,55.47,1000000000.0,0.162
test,Spotty,250306B1_524.png,77.38,111.45,0.0,0.9,0.373
test,Spotty,250306B1_797.png,63.86,0.0,0.0,1000000000.0,0.489
test,Spotty,250306B1_983.png,41.02,0.0,0.0,1000000000.0,0.396
test,Spotty,250306B2_142.png,138.98,0.0,0.0,1000000000.0,0.55
test,Spotty,250306B2_731.png,99.67,112.46,0.0,0.89,0.605
test,Spotty,250312A1_294.png,124.28,0.0,109.38,1000000000.0,0.364
test,Spotty,250312A1_398.png,98.42,0.0,242.6,1000000000.0,0.133
test,Spotty,250312A1_508.png,95.2,38.09,261.66,2.63,0.045
test,Spotty,250312A1_683.png,90.54,36.57,199.75,2.73,0.001
test,Spotty,250312A1_713.png,89.83,35.05,205.68,2.85,0.002
test,Spotty,250312A1_738.png,88.51,36.72,205.75,2.72,0.0
test,Spotty,250312A1_864.png,87.8,35.08,207.88,2.85,0.0
test,Spotty,250312A1_961.png,85.94,36.21,170.52,2.76,0.0
test,Spotty,250312B1_359.png,367.91,0.0,0.0,1000000000.0,0.0
test,Spotty,250312B1_718.png,228.46,0.0,0.0,1000000000.0,0.0
test,Spotty,250312B1_919.png,291.85,0.0,0.0,1000000000.0,0.0
test,Spotty,250312B1_963.png,40.0,573.27,75.11,0.17,0.0
test,Spotty,250602A1_471.png,115.99,0.0,63.89,1000000000.0,0.0
test,Spotty,250602A1_557.png,114.96,0.0,59.83,1000000000.0,0.0
test,Spotty,250602A1_663.png,128.29,0.0,59.78,1000000000.0,0.0
test,Spotty,250602A1_729.png,121.43,0.0,64.19,1000000000.0,0.0
test,Spotty,250602A1_735.png,112.57,0.0,64.87,1000000000.0,0.0
test,Spotty,250602A1_943.png,111.56,0.0,70.26,1000000000.0,0.0
test,Spotty,250602A1_998.png,111.09,0.0,68.69,1000000000.0,0.0
test,Spotty,250604A1_218.png,192.67,118.45,0.0,0.84,0.216
test,Spotty,250604A1_222.png,208.67,108.5,0.0,0.92,0.208
test,Spotty,250604A1_299.png,75.88,44.52,0.0,2.25,0.148
test,Spotty,250604A1_319.png,71.45,45.76,0.0,2.19,0.148
test,Spotty,250604A1_330.png,71.72,45.76,0.0,2.19,0.153
test,Spotty,250604A1_416.png,66.72,47.29,113.59,2.11,0.167
test,Spotty,250604A1_478.png,65.49,43.61,120.43,2.29,0.172
test,Spotty,250604A1_533.png,63.95,43.0,113.22,2.33,0.179
test,Spotty,250604A1_577.png,62.96,39.52,112.53,2.53,0.182
test,Spotty,250604A1_654.png,61.31,0.0,108.78,1000000000.0,0.189
test,Spotty,250604A1_782.png,74.39,0.0,102.71,1000000000.0,0.146
test,Spotty,250604A1_855.png,662.6,292.64,0.0,0.34,0.175
test,Spotty,250604A1_907.png,431.34,75.34,0.0,1.33,0.043
test,Spotty,250604A1_954.png,133.51,160.98,126.39,0.62,0.204
test,Spotty,250604A1_978.png,57.17,0.0,94.35,1000000000.0,0.128
test,Spotty,250604A1_998.png,127.27,0.0,0.0,1000000000.0,0.156
test,Spotty,250604_921.png,315.55,0.0,0.0,1000000000.0,0.186
test,Streaks,240708T160508.png,157.05,0.0,123.72,1000000000.0,0.517
test,Streaks,240708T160605.png,154.52,0.0,120.8,1000000000.0,0.513
test,Streaks,240709A_310.png,0.0,250.22,112.51,0.4,0.466
test,Streaks,240709A_CdTe_185.png,91.07,237.4,215.75,0.42,0.431
test,Streaks,240709A_CdTe_389.png,171.01,0.0,0.0,1000000000.0,0.545
test,Streaks,240709A_CdTe__95.png,106.1,164.81,0.0,0.61,0.464
